course_code,title,credits,description,source
CSCI 2501,Ethical Issues in Computing,1 Credit,"Introduction and analysis of the ethical issues of the technological age; ethical principles and skills and social analysis skills needed to evaluate future consequences of the design and implementation of complex computer systems; application of professional ethics codes in decision-making in professional practice. Restricted to computer science majors. Prerequisites:CSCI 1010andCSCI 1011. (Fall and spring, Every year)",bulletin
CSCI 2541,Database Systems and Team Projects,3 Credits,"Design of relational database systems, relational query languages, normal forms, modern database systems, technologies, non-relational extensions, and design of database applications. Team software development, integration, and testing. Prerequisites:CSCI 1311. Corequisites:CSCI 2113. Credit cannot be earned for this course andCSCI 6441. (Spring, Every year)",bulletin
CSCI 2541W,Database Systems and Team Projects,3 Credits,"Design of relational database systems, relational query languages, Introduction to Not just SQL (NoSQL) database systems, normal forms, and design of database applications. Team software development, integration, and testing. Students cannot receive credit for bothCSCI 2541Wtaken while an undergraduate andCSCI 6441taken while a graduate student. Students in the combined BS/MS program cannot receive credit for bothCSCI 2541andCSCI 6441. Includes a significant engagement in writing as a form of critical inquiry and scholarly expression to satisfy the WID requirement. Corequisite:CSCI 2113. Prerequisite:CSCI 1311. (Spring, Every year)",bulletin
CSCI 3212,Algorithms,4 Credits,"Core concepts in design and analysis of algorithms, data structures, and problem-solving techniques. Hashing, heaps, trees. Graph algorithms, searching, sorting, graph algorithms, dynamic programming, greedy algorithms, divide and conquer, backtracking. Combinatorial optimization techniques. NP-completeness. Prerequisites:CSCI 1311andCSCI 2113. (Fall and spring, Every year)",bulletin
CSCI 3313,Foundations of Computing,3 Credits,"Introduction to the theory of computing and automata theory. Finite state automata, regular expressions, context-free languages; pushdown automata; Turing machines and computability. Prerequisites:CSCI 2113; andCSCI 2312orCSCI 2460orCSCI 3401orMATH 2971orMATH 2971W. (Spring, Every year)",bulletin
CSCI 3362,Probability for Computer Science,3 Credits,"Introduction to probability and statistics for computer scientists; random variables; conditional probability, independence, correlation; applications to computer science, including information theory, data compression, coding, inference, Markov chains, randomized algorithms. Students cannot receive credit for bothCSCI 3362taken while an undergraduate andCSCI 6362taken while a graduate student. Students in the combined BS/MS program cannot receive credit for bothCSCI 3362andCSCI 6362. Prerequisites:CSCI 1311andMATH 1232. (Spring, Every year)",bulletin
CSCI 3401,Computer Architecture and Organization,3 Credits,"Design and analysis of computer architectures. Digital logic and circuit design, computer organization, assembly programming, translation, memory design, pipelined and superscalar architectures, multiprocessing, program performance. Restricted to students in the BS in computer science program. Prerequisites:CSCI 1311,CSCI 2113, andCSCI 2410. Credit cannot be earned for this course andCSCI 2461. (Spring, Every year)",bulletin
CSCI 3410,Systems Programming,3 Credits,"Concepts underlying all computer systems. Processor operation, hierarchical memory systems, embedded boards, data acquisition, actuation, and systems software such as compilers, linkers, and operating systems from the programmer’s perspective. Use of embedded platforms to examine how programs interact with and are constrained by hardware. Prerequisites:CSCI 2461andCSCI 2113. (Fall and spring, Every year)",bulletin
CSCI 3411,Operating Systems,4 Credits,"Operating systems structure and associated trade-offs; process and thread management; concurrency, synchronization, and deadlock; memory management; scheduling; storage systems and I/O. Prerequisites:CSCI 2113; andCSCI 2410orCSCI 3401. (Fall, Every year)",bulletin
CSCI 3414,Introduction to Blockchain Technology and Applications,3 Credits,"Introduction to blockchain concepts. Illustrates applications in both technical and business contexts. Can be taken for graduate credit. Prerequisites:CSCI 1012, orCSCI 1111, orECE 1120, orMAE 1117. Recommended background: Prior coursework and background in computer science disciplines, programming, security protocols, machine learning, and distributed systems is helpful. (Fall, Every year)",bulletin
CSCI 3462,Computer Architecture II,3 Credits,"Computer organization; design of computer components and of a simple computer. Instruction set and assembly language of a pipelined RISC processor; introduction to high-performance processors; design of cache, main memory, and virtual memory systems; program performance models and system performance; I/O structure and peripherals. Prerequisites:CSCI 2113andCSCI 2461. Credit cannot be earned for this course andECE 3515. (Spring, Every year)",bulletin
CSCI 3532,Information Ethics and Policy,3 Credits,"Ethical issues of new technologies viewed through ethical frameworks. Developing policy analysis skills to evaluate local, global impact of complex computer systems and applying professional ethics codes in decision making in professional practice. Restricted to students in the BS in computer science program. Prerequisites:CSCI 1010, orCSCI 1011, orCSCI 1111. (Spring, Every year)",bulletin
CSCI 3551,Concepts and Applications of Computer Graphics,3 Credits,"Introduction to computer graphics without programming; building 3-D geometry and rendering; computer animation; virtual reality and computer games; hands-on projects in modeling, rendering, and animation using commercial software.",bulletin
